TransectID,Meter,SampleID,LongestBladeLength.mm,LongestBladeWidth.mm,SheathLength.mm,3rd.BladeLength.mm,3rd.BladeWidth.mm,DiseasePrevalence,GrazingScars,BrokenTip,TinMass.Epibiont.g,TinAndEpibiontDryMass.g,EpibiontDryMass.g,BladeArea.cm2
2019-07-16_AK_C_L4,m20,2019-07-16_AK_C_L4_m20,772,5,267,736,5,,0,Y,0.299,0.304,0.005,36.8
2019-07-16_AK_C_L5,m4,2019-07-16_AK_C_L5_m4,234,3,68,231,3,,0,Y,0.217,0.219,0.002,6.93
2019-07-16_AK_C_L5,m8,2019-07-16_AK_C_L5_m8,473,3,126,473,3,,2,N,0.393,0.395,0.002,14.19
2019-07-16_AK_C_L5,m12,2019-07-16_AK_C_L5_m12,720,4.5,152,656,4.5,,2,Y,0.494,0.497,0.003,29.52
2019-07-16_AK_C_L5,m16,2019-07-16_AK_C_L5_m16,966,6.5,62,869,6,,0,Y,0.412,0.415,0.003,52.14
2019-07-16_AK_C_L5,m20,2019-07-16_AK_C_L5_m20,1038,6,112,1038,6,,1,Y,0.449,0.454,0.005,62.28
2019-07-16_AK_C_L6,m4,2019-07-16_AK_C_L6_m4,769,3,237,769,5,,2,N,0.431,0.434,0.003,38.45
2019-07-16_AK_C_L6,m8,2019-07-16_AK_C_L6_m8,517,5,190,426,4.5,,0,Y,0.501,0.504,0.003,19.17
2019-07-16_AK_C_L6,m12,2019-07-16_AK_C_L6_m12,609,4.5,186,609,4.5,,0,Y,0.264,0.265,0.001,27.405
2019-07-16_AK_C_L6,m16,2019-07-16_AK_C_L6_m16,503,5,179,457,5,,0,Y,0.397,0.4,0.003,22.85
2019-07-16_AK_C_L6,m20,2019-07-16_AK_C_L6_m20,680,5.5,224,547,5.5,,1,N,0.408,0.412,0.004,30.085
2019-07-17_AK_D_U1,m4,2019-07-17_AK_D_U1_m4,499.5,6.5,144,199,6.5,,1,Y,0.391,0.392,0.001,12.935
2019-07-17_AK_D_U1,m8,2019-07-17_AK_D_U1_m8,351,4,80,351,4,,1,N ,0.236,0.237,0.001,14.04
2019-07-17_AK_D_U1,m12,2019-07-17_AK_D_U1_m12,354,5,74,281,5,,1,N,0.255,0.256,0.001,14.05
2019-07-17_AK_D_U1,m16,2019-07-17_AK_D_U1_m16,213,4.5,63,209,4.5,,0,Y,0.227,0.228,0.001,9.405
2019-07-17_AK_D_U1,m20,2019-07-17_AK_D_U1_m20,352,5,76,226,5,,1,N,0.318,0.319,0.001,11.3
2019-07-17_AK_D_U2,m4,2019-07-17_AK_D_U2_m4,476,6,97,476,6,,1,N ,0.405,0.406,0.001,28.56
2019-07-17_AK_D_U2,m8,2019-07-17_AK_D_U2_m8,386,5,83,386,5,,3,N,0.322,0.46,0.138,19.3
2019-07-17_AK_D_U2,m12,2019-07-17_AK_D_U2_m12,535,6,141,535,6,,3,N,0.507,0.508,0.001,32.1
2019-07-17_AK_D_U2,m16,2019-07-17_AK_D_U2_m16,551,6,130,532,6,,2,N,0.514,0.517,0.003,31.92
2019-07-17_AK_D_U2,m20,2019-07-17_AK_D_U2_m20,327,4,78,273,3.5,,0,N,0.498,0.5,0.002,9.555
2019-07-17_AK_D_U3,m4,2019-07-17_AK_D_U3_m4,480,3,57,480,4.5,,3,N ,0.424,0.427,0.003,21.6
2019-07-17_AK_D_U3,m8,2019-07-17_AK_D_U3_m8,416,4,58,416,4,,4,Y,0.459,0.463,0.004,16.64
2019-07-17_AK_D_U3,m12,2019-07-17_AK_D_U3_m12,560,6,119,594,6,,4,N,0.435,0.439,0.004,35.64
2019-07-17_AK_D_U3,m16,2019-07-17_AK_D_U3_m16,829,5,119,829,5,,3,Y,0.461,0.47,0.009,41.45
2019-07-17_AK_D_U3,m20,2019-07-17_AK_D_U3_m20,485,4,93,459,4,,2,Y,0.535,0.538,0.003,18.36
2019-07-17_AK_D_L4,m4,2019-07-17_AK_D_L4_m4,463,5,130,419,4.5,,1,N,0.308,0.31,0.002,18.855
2019-07-17_AK_D_L4,m8,2019-07-17_AK_D_L4_m8,621,6,130,621,6,,0,N,0.54,0.592,0.052,37.26
2019-07-17_AK_D_L4,m12,2019-07-17_AK_D_L4_m12,385,3,116,385,3,,2,N,0.389,0.392,0.003,11.55
2019-07-17_AK_D_L4,m16,2019-07-17_AK_D_L4_m16,319,4,82,294,4,,1,N,0.442,0.444,0.002,11.76
2019-07-17_AK_D_L4,m20,2019-07-17_AK_D_L4_m20,305,4,71,305,4,,4,N,0.673,0.675,0.002,12.2
2019-07-17_AK_D_L5,m4,2019-07-17_AK_D_L5_m4,328,5,29,303,4.5,,1,N,0.458,0.46,0.002,13.635
2019-07-17_AK_D_L5,m8,2019-07-17_AK_D_L5_m8,489,5,18,456,5,,0,N,0.543,,,22.8
2019-07-17_AK_D_L5,m12,2019-07-17_AK_D_L5_m12,350,4,50,350,4,,0,N,0.472,0.473,0.001,14
2019-07-17_AK_D_L5,m16,2019-07-17_AK_D_L5_m16,702,5,51,699,5,,0,N,0.411,0.412,0.001,34.95
2019-07-17_AK_D_L5,m20,2019-07-17_AK_D_L5_m20,753,6,24,656,6,,0,N,0.375,0.377,0.002,39.36
2019-07-17_AK_D_L6,m4,2019-07-17_AK_D_L6_m4,619,6,209,619,6,,0,N,0.221,0.223,0.002,37.14
2019-07-17_AK_D_L6,m8,2019-07-17_AK_D_L6_m8,342,4,74,264,4,,0,N,0.46,0.462,0.002,10.56
2019-07-17_AK_D_L6,m12,2019-07-17_AK_D_L6_m12,442,5,96,391,5,,0,N,0.302,0.305,0.003,19.55
2019-07-17_AK_D_L6,m16,2019-07-17_AK_D_L6_m16,764,5.5,194,764,5.5,,0,N,0.457,0.458,0.001,42.02
2019-07-17_AK_D_L6,m20,2019-07-17_AK_D_L6_m20,728,6.5,196,703,6.5,,0,N,0.46,0.461,0.001,45.695
2019-07-18_AK_E_U1,m4,2019-07-18_AK_E_U1_m4,280,3,65,269,3,,0,N,0.404,0.405,0.001,8.07
2019-07-18_AK_E_U1,m8,2019-07-18_AK_E_U1_m8,201,3.5,57,182,3,,0,N,0.501,0.502,0.001,5.46
2019-07-18_AK_E_U1,m12,2019-07-18_AK_E_U1_m12,186,2,46,154,2,,0,N,0.408,0.504,0.096,3.08
2019-07-18_AK_E_U1,m16,2019-07-18_AK_E_U1_m16,317,4,66,312,4,,0,N,0.442,0.443,0.001,12.48
2019-07-18_AK_E_U1,m20,2019-07-18_AK_E_U1_m20,262,3.5,61,83,3.5,,0,Y,0.426,0.427,0.001,2.905
2019-07-18_AK_E_U2,m4,2019-07-18_AK_E_U2_m4,172,3,6,152,2,,0,Y,0.316,0.316,0,3.04
2019-07-18_AK_E_U2,m8,2019-07-18_AK_E_U2_m8,278,2,68,229,2,,0,N,0.507,0.507,0,4.58
2019-07-18_AK_E_U2,m12,2019-07-18_AK_E_U2_m12,248,2,60,224,2,,0,N,0.491,0.492,0.001,4.48
2019-07-18_AK_E_U2,m16,2019-07-18_AK_E_U2_m16,291,3,58,247,2,,1,N,0.309,0.31,0.001,4.94
2019-07-18_AK_E_U2,m20,2019-07-18_AK_E_U2_m20,232,2.5,57,210,2.5,,0,N,0.426,0.427,0.001,5.25
2019-07-18_AK_E_U3,m4,2019-07-18_AK_E_U3_m4,157,2,43,157,2,,0,N,0.452,0.452,0,3.14
2019-07-18_AK_E_U3,m8,2019-07-18_AK_E_U3_m8,272,3,61,272,3,,3,N,0.491,0.492,0.001,8.16
2019-07-18_AK_E_U3,m12,2019-07-18_AK_E_U3_m12,282,3,62,263,3,,0,N,0.405,0.406,0.001,7.89
2019-07-18_AK_E_U3,m16,2019-07-18_AK_E_U3_m16,336,4,74,336,4,,1,N,0.35,0.351,0.001,13.44
2019-07-18_AK_E_U3,m20,2019-07-18_AK_E_U3_m20,272,3,60,272,3,,0,N,0.424,0.426,0.002,8.16
2019-07-18_AK_E_L4,m4,2019-07-18_AK_E_L4_m4,523,4.5,119,522,4,,4,N,0.417,0.419,0.002,20.88
2019-07-18_AK_E_L4,m8,2019-07-18_AK_E_L4_m8,308,3,72,308,3,,2,N,0.424,0.426,0.002,9.24
2019-07-18_AK_E_L4,m12,2019-07-18_AK_E_L4_m12,692,4,158,692,4,,2,N,0.417,0.419,0.002,27.68
2019-07-18_AK_E_L4,m16,2019-07-18_AK_E_L4_m16,213,3,50,164,2.5,,0,N,0.412,0.414,0.002,4.1
2019-07-18_AK_E_L4,m20,2019-07-18_AK_E_L4_m20,558,5,125,558,5,,3,N,0.429,0.431,0.002,27.9
2019-07-18_AK_E_L5,m4,2019-07-18_AK_E_L5_m4,235,3,64,224,3,,0,N,0.373,0.373,0,6.72
2019-07-18_AK_E_L5,m8,2019-07-18_AK_E_L5_m8,339,3.5,40,336,4,,0,N,0.328,0.329,0.001,13.44
2019-07-18_AK_E_L5,m12,2019-07-18_AK_E_L5_m12,424,4.5,69,422,4.5,,0,N,0.324,0.326,0.002,18.99
2019-07-18_AK_E_L5,m16,2019-07-18_AK_E_L5_m16,407,4,77,406,3,,1,N,0.394,0.395,0.001,12.18
2019-07-18_AK_E_L5,m20,2019-07-18_AK_E_L5_m20,391,3.5,82,332,3,,0,N,0.757,0.761,0.004,9.96
2019-07-18_AK_E_L6,m4,2019-07-18_AK_E_L6_m4,337,4,65,337,4,,0,N,0.517,0.518,0.001,13.48
2019-07-18_AK_E_L6,m8,2019-07-18_AK_E_L6_m8,456,4,99,397,4,,0,N,0.487,0.488,0.001,15.88
2019-07-18_AK_E_L6,m12,2019-07-18_AK_E_L6_m12,416,4,101,361,4.5,,0,N,0.746,0.747,0.001,16.245
2019-07-18_AK_E_L6,m16,2019-07-18_AK_E_L6_m16,357,4,87,271,4,,0,N,0.726,0.728,0.002,10.84
2019-07-18_AK_E_L6,m20,2019-07-18_AK_E_L6_m20,373,4,91,373,4,,0,N,0.808,0.809,0.001,14.92
2019-07-19_AK_F_U1,m4,2019-07-19_AK_F_U1_m4,187,2.5,61,179,2.5,,0,N,0.421,0.422,0.001,4.475
2019-07-19_AK_F_U1,m8,2019-07-19_AK_F_U1_m8,319,5,93,280,4,,0,Y,0.555,0.555,0,11.2
2019-07-19_AK_F_U1,m12,2019-07-19_AK_F_U1_m12,271,3,75,242,3,,0,N,0.36,0.361,0.001,7.26
2019-07-19_AK_F_U1,m16,2019-07-19_AK_F_U1_m16,347,4,76,338,3.5,,0,N,0.399,0.4,0.001,11.83
2019-07-19_AK_F_U1,m20,2019-07-19_AK_F_U1_m20,384,4,74,384,4,,0,Y,0.467,0.468,0.001,15.36
2019-07-19_AK_F_U2,m4,2019-07-19_AK_F_U2_m4,165,2,59,165,2,,1,N,0.442,0.443,0.001,3.3
2019-07-19_AK_F_U2,m8,2019-07-19_AK_F_U2_m8,255,3,57,255,3,,2,N,0.375,0.376,0.001,7.65
2019-07-19_AK_F_U2,m12,2019-07-19_AK_F_U2_m12,260,3,74,260,3,,0,N,0.458,0.46,0.002,7.8
2019-07-19_AK_F_U2,m16,2019-07-19_AK_F_U2_m16,244,3,62,244,3,,1,N,0.577,0.577,0,7.32
2019-07-19_AK_F_U2,m20,2019-07-19_AK_F_U2_m20,419,4.5,110,419,4.5,,2,N,0.383,0.383,0,18.855
2019-07-19_AK_F_U3,m4,2019-07-19_AK_F_U3_m4,184,2.5,39,184,2.5,,1,Y,0.417,0.417,0,4.6
2019-07-19_AK_F_U3,m8,2019-07-19_AK_F_U3_m8,176,3,34,155,3,,2,N,0.463,0.464,0.001,4.65
2019-07-19_AK_F_U3,m12,2019-07-19_AK_F_U3_m12,304,4,73,246,4,,2,N,0.406,0.407,0.001,9.84
2019-07-19_AK_F_U3,m16,2019-07-19_AK_F_U3_m16,211,3.5,32,204,3.5,,0,N,0.384,0.384,0,7.14
2019-07-19_AK_F_U3,m20,2019-07-19_AK_F_U3_m20,181,2,39,181,2,,2,N,0.452,0.452,0,3.62
2019-07-19_AK_F_L4,m4,2019-07-19_AK_F_L4_m4,670,4.5,179,589,4.5,,0,N,0.452,0.455,0.003,26.505
2019-07-19_AK_F_L4,m8,2019-07-19_AK_F_L4_m8,284,3,74,269,3,,0,N,0.412,0.416,0.004,8.07
2019-07-19_AK_F_L4,m12,2019-07-19_AK_F_L4_m12,392,4,111,392,4,,0,N,0.397,0.403,0.006,15.68
2019-07-19_AK_F_L4,m16,2019-07-19_AK_F_L4_m16,211,2,66,211,2,,0,N,0.407,0.409,0.002,4.22
2019-07-19_AK_F_L4,m20,2019-07-19_AK_F_L4_m20,434,4,105,434,4,,0,N,0.516,0.518,0.002,17.36
2019-07-19_AK_F_L5,m4,2019-07-19_AK_F_L5_m4,228,3,70,206,3,,0,N,0.389,0.39,0.001,6.18
2019-07-19_AK_F_L5,m8,2019-07-19_AK_F_L5_m8,244,3,75,244,3,,0,N,0.362,0.362,0,7.32
2019-07-19_AK_F_L5,m12,2019-07-19_AK_F_L5_m12,214,2.5,68,177,2,,1,N,0.548,0.549,0.001,3.54
2019-07-19_AK_F_L5,m16,2019-07-19_AK_F_L5_m16,185,2,45,185,2,,0,N,0.6,0.601,0.001,3.7
2019-07-19_AK_F_L5,m20,2019-07-19_AK_F_L5_m20,234,4,74,183,3.5,,0,N,0.387,0.388,0.001,6.405
2019-07-19_AK_F_L6,m4,2019-07-19_AK_F_L6_m4,222,3,73,196,3,,1,N,0.385,0.386,0.001,5.88
2019-07-19_AK_F_L6,m8,2019-07-19_AK_F_L6_m8,351,3,100,351,3,,1,N,0.401,0.403,0.002,10.53
2019-07-19_AK_F_L6,m12,2019-07-19_AK_F_L6_m12,349,3.5,102,349,3.5,,0,N,0.511,0.512,0.001,12.215
2019-07-19_AK_F_L6,m16,2019-07-19_AK_F_L6_m16,289,3.5,73,255,3.5,,0,N,0.398,0.399,0.001,8.925
2019-07-19_AK_F_L6,m20,2019-07-19_AK_F_L6_m20,258,4,82,214,3.5,,1,N,0.512,0.513,0.001,7.49
2019-07-29_BC_A_U1,m4,2019-07-29_BC_A_U1_m4,839,4,179,329,3,0,0,n,1.4893,1.4955,0.0062,9.87
2019-07-29_BC_A_U1,m8,2019-07-29_BC_A_U1_m8,604,4,162,500,4,0,1,y,NA,NA,NA,20
2019-07-29_BC_A_U1,m12,2019-07-29_BC_A_U1_m12,738,4,125,664,4,0,0,n,NA,NA,NA,26.56
2019-07-29_BC_A_U1,m16,2019-07-29_BC_A_U1_m16,522,3,120,321,3,0,0,n,NA,NA,NA,9.63
2019-07-29_BC_A_U1,m20,2019-07-29_BC_A_U1_m20,307,3,72,244,3,0,0,n,NA,NA,NA,7.32
2019-07-29_BC_A_U2,m4,2019-07-29_BC_A_U2_m4,479,3,118,331,3,0,0,n,NA,NA,NA,9.93
2019-07-29_BC_A_U2,m8,2019-07-29_BC_A_U2_m8,560,4,180,501,4,0,0,n,NA,NA,NA,20.04
2019-07-29_BC_A_U2,m12,2019-07-29_BC_A_U2_m12,404,3,87,321,3,0,0,n,NA,NA,NA,9.63
2019-07-29_BC_A_U2,m16,2019-07-29_BC_A_U2_m16,287,2,56,264,3,0,0,y,NA,NA,NA,7.92
2019-07-29_BC_A_U2,m20,2019-07-29_BC_A_U2_m20,572,4,138,442,4,0,0,n,NA,NA,NA,17.68
2019-07-29_BC_A_U3,m4,2019-07-29_BC_A_U3_m4,320,4,107,242,3,1,0,n,NA,NA,NA,7.26
2019-07-29_BC_A_U3,m8,2019-07-29_BC_A_U3_m8,456,3,95,225,4,1,1,y,NA,NA,NA,9
2019-07-29_BC_A_U3,m12,2019-07-29_BC_A_U3_m12,636,3,134,530,3,0,0,n,NA,NA,NA,15.9
2019-07-29_BC_A_U3,m16,2019-07-29_BC_A_U3_m16,1082,4,106,737,4,1,0,n,NA,NA,NA,29.48
2019-07-29_BC_A_U3,m20,2019-07-29_BC_A_U3_m20,666,3,140,265,3,1,0,y,NA,NA,NA,7.95
2019-07-30_BC_A_L4,m4,2019-07-30_BC_A_L4_m4,1001,4,192,570,4,1,0,n,NA,NA,NA,22.8
2019-07-30_BC_A_L4,m8,2019-07-30_BC_A_L4_m8,1054,5,151,675,5,0,0,n,NA,NA,NA,33.75
2019-07-30_BC_A_L4,m12,2019-07-30_BC_A_L4_m12,856,3,165,544,3,1,0,n,NA,NA,NA,16.32
2019-07-30_BC_A_L4,m16,2019-07-30_BC_A_L4_m16,771,4,150,563,4,0,0,n,NA,NA,NA,22.52
2019-07-30_BC_A_L4,m20,2019-07-30_BC_A_L4_m20,884,4,210,654,4,1,0,n,NA,NA,NA,26.16
2019-07-30_BC_A_L5,m4,2019-07-30_BC_A_L5_m4,691,4,142,385,4,1,0,n,NA,NA,NA,15.4
2019-07-30_BC_A_L5,m8,2019-07-30_BC_A_L5_m8,572,4,140,333,4,1,0,y,NA,NA,NA,13.32
2019-07-30_BC_A_L5,m12,2019-07-30_BC_A_L5_m12,959,3,225,595,3,0,0,n,NA,NA,NA,17.85
2019-07-30_BC_A_L5,m16,2019-07-30_BC_A_L5_m16,1135,5,257,681,5,0,0,n,NA,NA,NA,34.05
