"SampleDate","SampleID","Region","SiteCode","TidalHeight","Transect","Blade","BladeArea.cm2","Scanned","year","location","site","file_name","blade_num","prevelance","severity","lesion_area","healthy_area","correct_num","severity_per"
"2019-07-02","BB.A.5.L.13","BB","A","L","5","13",131.58,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.5.L.13_15.jpg",13,1,13.79254359,375.2118644,2345.184573,TRUE,0.1379254359
"2019-07-17","BB.D.4.L.5","BB","D","L","4","5",131.45,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.1_5.jpg",5,1,21.7558058,1220.737575,4390.351192,TRUE,0.217558058
"2019-07-17","BB.D.6.L.13","BB","D","L","6","13",129.33,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.4.L.15","BB","D","L","4","15",123.2,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.11_15.jpg",15,1,40.42286709,478.6483769,705.4546107,TRUE,0.4042286709
"2019-07-17","BB.D.4.L.7","BB","D","L","4","7",122.6,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-02","BB.A.6.L.3","BB","A","L","6","3",121.5,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.6.L.1_3.jpg",3,1,26.59328709,1042.315427,2877.152758,TRUE,0.2659328709
"2019-07-17","BB.D.5.L.6","BB","D","L","5","6",121.5,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.5.L.6_10.jpg",6,1,54.39143029,1036.36886,869.0211146,TRUE,0.5439143029
"2019-07-02","BB.A.5.L.4","BB","A","L","5","4",121.2,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.5.L.1_6.jpg",4,1,2.290253151,79.00028727,3370.412597,TRUE,0.02290253151
"2019-07-02","BB.A.4.L.7","BB","A","L","4","7",118.8,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.4.L.2","BB","D","L","4","2",118.2,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.1_5.jpg",2,1,24.84719759,956.3146366,2892.468041,TRUE,0.2484719759
"2019-07-17","BB.D.4.L.10","BB","D","L","4","10",116.1,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.5.L.15","BB","B","L","5","15",115,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.5.L.14_18.jpg",15,1,5.526981075,119.4466389,2041.708561,TRUE,0.05526981075
"2019-07-17","BB.D.6.L.12","BB","D","L","6","12",114,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-02","BB.A.6.L.6","BB","A","L","6","6",112.5,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.4.L.5","BC","B","L","4","5",112,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-02","BB.A.5.L.10","BB","A","L","5","10",110.88,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.4.L.1","BB","D","L","4","1",110.6,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.1_5.jpg",1,1,13.71733013,302.2371445,1901.086254,TRUE,0.1371733013
"2019-07-17","BB.D.6.L.1","BB","D","L","6","1",108.9,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.6.L.1_5.jpg",1,1,13.49932865,453.4490807,2905.600043,TRUE,0.1349932865
"2019-07-03","BB.B.5.L.3","BB","B","L","5","3",108.36,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.5.L.1_4.jpg",3,1,20.35167201,572.3319448,2239.878986,TRUE,0.2035167201
"2019-07-03","BB.B.5.L.1","BB","B","L","5","1",108.35,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.5.L.1_4.jpg",1,1,6.916316281,127.262281,1712.767524,TRUE,0.06916316281
"2019-07-02","BB.A.4.L.4","BB","A","L","4","4",107.1,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.4.L.1_5.jpg",4,1,4.576160972,100.4506607,2094.635162,TRUE,0.04576160972
"2019-07-17","BB.D.5.L.8","BB","D","L","5","8",106.8,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.5.L.6_10.jpg",8,1,30.73606659,954.8836541,2151.836757,TRUE,0.3073606659
"2019-07-17","BB.D.5.L.12","BB","D","L","5","12",106.65,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.5.L.12","BB","B","L","5","12",106.47,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.4.L.6","BC","B","L","4","6",105.2,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.6.L.7","BB","D","L","6","7",104.96,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.6.L.6_10.jpg",7,1,16.25483466,511.0744039,2633.063416,TRUE,0.1625483466
"2019-07-17","BB.D.4.L.14","BB","D","L","4","14",104.5,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.11_15.jpg",14,1,5.562323559,160.4316288,2723.823973,TRUE,0.05562323559
"2019-07-03","BB.B.5.L.14","BB","B","L","5","14",103.4,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.5.L.14_18.jpg",14,0,0,0,2270.337188,TRUE,0
"2019-07-02","BB.A.4.L.10","BB","A","L","4","10",102.72,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.4.L.10_12.jpg",10,1,2.275156481,19.91166332,855.2660873,TRUE,0.02275156481
"2019-07-03","BB.B.5.L.11","BB","B","L","5","11",101.75,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.4.L.13","BB","D","L","4","13",101.44,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.11_15.jpg",13,1,8.718221617,364.4498707,3815.873671,TRUE,0.08718221617
"2019-07-03","BB.B.2.U.15","BB","B","U","2","15",100.7,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.2.U.12_15.jpg",15,1,12.1135567,397.6605142,2885.112037,TRUE,0.121135567
"2019-07-31","BC.B.4.L.15","BC","B","L","4","15",100.4,"Y",2019,"British Columbia","B Underhill/Disease Scans/","BC.B.4.L.15.jpg",15,1,6.319731469,225.0341138,3335.783539,TRUE,0.06319731469
"2019-07-02","BB.A.5.L.15","BB","A","L","5","15",100.38,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.5.L.13_15.jpg",15,1,8.621484763,309.1460787,3276.61771,TRUE,0.08621484763
"2019-07-17","BB.D.6.L.9","BB","D","L","6","9",100.08,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.6.L.6_10.jpg",9,1,1.900100927,110.8715168,5724.16152,TRUE,0.01900100927
"2019-07-17","BB.D.5.L.9","BB","D","L","5","9",99.75,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.5.L.6_10.jpg",9,1,38.81991638,554.450948,873.8132002,TRUE,0.3881991638
"2019-07-17","BB.D.6.L.3","BB","D","L","6","3",99.45,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.6.L.1_5.jpg",3,1,17.03786882,325.5476156,1585.18206,TRUE,0.1703786882
"2019-07-02","BB.A.5.L.8","BB","A","L","5","8",99.36,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.6.L.9","BB","B","L","6","9",99.2,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.6.L.9_14.jpg",9,0,0,0,1198.466676,TRUE,0
"2019-07-02","BB.A.5.L.1","BB","A","L","5","1",98.61,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.5.L.1_6.jpg",1,0,0,0,607.4403907,TRUE,0
"2019-07-17","BB.D.5.L.13","BB","D","L","5","13",98.08,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.2.U.2","BC","B","U","2","2",97.65,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.5.L.5","BC","B","L","5","5",97.36,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.4.L.9","BB","B","L","4","9",97.2,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.4.L.8_13.jpg",9,0,0,0,1909.165829,TRUE,0
"2019-07-31","BC.B.4.L.9","BC","B","L","4","9",97.2,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.6.L.14","BB","D","L","6","14",96.75,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.5.L.12","BC","B","L","5","12",96.4,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.6.L.2","BB","D","L","6","2",96.3,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.6.L.1_5.jpg",2,1,0.460933651,8.751077277,1889.803577,TRUE,0.00460933651
"2019-07-02","BB.A.5.L.9","BB","A","L","5","9",96.25,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.4.L.8","BB","B","L","4","8",94.96,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.4.L.8_13.jpg",8,1,0.52431001,25.87259408,4908.725941,TRUE,0.0052431001
"2019-07-03","BB.B.4.L.3","BB","B","L","4","3",94.14,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.4.L.1_7.jpg",3,1,4.381822776,144.4843436,3152.872738,TRUE,0.04381822776
"2019-07-17","BB.D.5.L.7","BB","D","L","5","7",93.44,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.5.L.6_10.jpg",7,1,51.54775593,1761.156995,1655.397156,TRUE,0.5154775593
"2019-07-03","BB.B.6.L.15","BB","B","L","6","15",93.2,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.6.L.15_20.jpg",15,1,0.614241597,14.27391554,2309.553648,TRUE,0.00614241597
"2019-07-03","BB.B.5.L.7","BB","B","L","5","7",93,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.6.L.12","BB","B","L","6","12",91.2,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.6.L.9_14.jpg",12,1,9.204266451,592.0496984,5840.290147,TRUE,0.09204266451
"2019-07-17","BB.D.4.L.9","BB","D","L","4","9",91.1,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.2.U.1","BB","B","U","2","1",90.6,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.2.U.1_6.jpg",1,1,0.355223038,8.454826199,2371.690965,TRUE,0.00355223038
"2019-07-03","BB.B.5.L.6","BB","B","L","5","6",90.5,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-02","BB.A.6.L.9","BB","A","L","6","9",90.45,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.6.L.9_12.jpg",9,1,9.460952261,278.7884229,2667.938452,TRUE,0.09460952261
"2019-07-31","BC.B.3.U.7","BC","B","U","3","7",89.36,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.5.L.11","BC","B","L","5","11",88.55,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.1.U.10","BB","D","U","1","10",88.485,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.1.U.7_14.jpg",10,1,37.72662876,698.0537202,1152.240735,TRUE,0.3772662876
"2019-07-03","BB.B.6.L.6","BB","B","L","6","6",88.16,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.6.L.1_8.jpg",6,1,0.26538007,3.680695203,1383.271689,TRUE,0.0026538007
"2019-07-03","BB.B.3.U.9","BB","B","U","3","9",87.66,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.2.U.9","BB","B","U","2","9",87.5,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.2.U.7_11.jpg",9,1,0.014902559,0.25136455,1686.469405,TRUE,0.00014902559
"2019-07-17","BB.D.6.L.5","BB","D","L","6","5",87.12,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.6.L.1_5.jpg",5,1,20.62900005,580.1098822,2231.998707,TRUE,0.2062900005
"2019-07-17","BB.D.4.L.12","BB","D","L","4","12",86.32,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.11_15.jpg",12,1,17.74983771,432.4996409,2004.140333,TRUE,0.1774983771
"2019-07-02","BB.A.6.L.14","BB","A","L","6","14",86.1,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.6.L.13_15.jpg",14,1,3.837505925,136.2108589,3413.252298,TRUE,0.03837505925
"2019-07-03","BB.B.4.L.10","BB","B","L","4","10",86.04,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.4.L.8_13.jpg",10,1,7.816574327,121.2600546,1430.059609,TRUE,0.07816574327
"2019-07-17","BB.D.2.U.13","BB","D","U","2","13",85.41,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.2.U.13_20.jpg",13,1,15.85962843,590.062123,3130.467179,TRUE,0.1585962843
"2019-07-03","BB.B.6.L.4","BB","B","L","6","4",85.2,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.6.L.1_8.jpg",4,0,0,0,455.280451,TRUE,0
"2019-07-31","BC.B.1.U.8","BC","B","U","1","8",85.05,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.3.U.2","BC","B","U","3","2",85.04,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.2.U.12","BB","D","U","2","12",84.78,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.2.U.7_12.jpg",12,1,21.15845012,1140.43917,4249.554726,TRUE,0.2115845012
"2019-07-02","BB.A.6.L.1","BB","A","L","6","1",83.7,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.6.L.1_3.jpg",1,1,10.81875373,492.1466533,4056.867639,TRUE,0.1081875373
"2019-07-03","BB.B.1.U.8","BB","B","U","1","8",83.7,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.1.U.8_14.jpg",8,1,12.44176649,425.946208,2997.572537,TRUE,0.1244176649
"2019-07-17","BB.D.6.L.4","BB","D","L","6","4",83.7,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.6.L.1_5.jpg",4,0,0,0,1854.012856,TRUE,0
"2019-07-17","BB.D.6.L.6","BB","D","L","6","6",83.12,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.6.L.6_10.jpg",6,1,3.730767014,58.11907498,1499.712726,TRUE,0.03730767014
"2019-07-03","BB.B.6.L.3","BB","B","L","6","3",81.675,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.6.L.1_8.jpg",3,1,5.812803062,142.9366561,2316.060399,TRUE,0.05812803062
"2019-07-03","BB.B.3.U.8","BB","B","U","3","8",81.2,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.3.U.5_8.jpg",8,0,0,0,4984.002442,TRUE,0
"2019-07-02","BB.A.4.L.15","BB","A","L","4","15",81.04,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.2.U.3","BB","D","U","2","3",80.64,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.2.U.1_6.jpg",3,1,30.30967048,921.3767596,2118.500431,TRUE,0.3030967048
"2019-07-31","BC.B.4.L.8","BC","B","L","4","8",80.64,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.1.U.15","BB","B","U","1","15",80.46,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.1.U.15_18.jpg",15,1,0.506723914,13.47673082,2646.103849,TRUE,0.00506723914
"2019-07-03","BB.B.4.L.13","BB","B","L","4","13",80.37,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.4.L.8_13.jpg",13,1,14.99504101,448.9891554,2545.261778,TRUE,0.1499504101
"2019-07-02","BB.A.4.L.14","BB","A","L","4","14",80.34,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.4.L.2","BB","B","L","4","2",80.16,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.4.L.1_7.jpg",2,0,0,0,1431.803002,TRUE,0
"2019-07-31","BC.B.5.L.8","BC","B","L","5","8",80.15,"Y",2019,"British Columbia","B Underhill/Disease Scans/","BC.B.5.L.8_9.jpg",8,0,0,0,302.4992818,TRUE,0
"2019-07-02","BB.A.4.L.2","BB","A","L","4","2",79.8,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.4.L.1_5.jpg",2,1,0.184675234,0.910298765,492.0084028,TRUE,0.00184675234
"2019-07-17","BB.D.2.U.7","BB","D","U","2","7",79.56,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.2.U.7_12.jpg",7,1,30.61548036,1389.324188,3148.6552,TRUE,0.3061548036
"2019-07-02","BB.A.5.L.12","BB","A","L","5","12",79.02,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.3.U.4","BC","B","U","3","4",77.98,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.2.U.13","BB","B","U","2","13",77.7,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.2.U.12_15.jpg",13,1,20.90309392,736.1982907,2785.760198,TRUE,0.2090309392
"2019-07-03","BB.B.5.L.2","BB","B","L","5","2",77.22,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.5.L.1_4.jpg",2,1,0.471850996,7.397299627,1560.322106,TRUE,0.00471850996
"2019-07-31","BC.B.1.U.7","BC","B","U","1","7",76.79,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.5.L.9","BB","B","L","5","9",76.64,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.4.L.6","BB","D","L","4","6",75.46,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.6.L.14","BB","B","L","6","14",75.3,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.6.L.9_14.jpg",14,1,3.259776382,63.54854927,1885.927176,TRUE,0.03259776382
"2019-07-31","BC.B.1.U.13","BC","B","U","1","13",74.9,"Y",2019,"British Columbia","B Underhill/Disease Scans/","BC.B.1.U.13.jpg",13,1,28.06938987,274.6265441,703.7579,TRUE,0.2806938987
"2019-07-31","BC.B.3.U.5","BC","B","U","3","5",74.88,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.2.U.12","BB","B","U","2","12",74.64,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.2.U.12_15.jpg",12,0,0,0,1884.16942,TRUE,0
"2019-07-03","BB.B.3.U.6","BB","B","U","3","6",74.56,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.3.U.5_8.jpg",6,1,56.44418216,862.0780666,665.2326918,TRUE,0.5644418216
"2019-07-03","BB.B.3.U.5","BB","B","U","3","5",74.16,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.3.U.5_8.jpg",5,1,20.55037312,283.9575553,1097.805947,TRUE,0.2055037312
"2019-07-03","BB.B.6.L.7","BB","B","L","6","7",73.99,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.6.L.1_8.jpg",7,1,22.3104836,652.0845303,2270.687302,TRUE,0.223104836
"2019-07-03","BB.B.5.L.4","BB","B","L","5","4",73.76,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.5.L.1_4.jpg",4,1,0.589333939,8.384803217,1414.374461,TRUE,0.00589333939
"2019-07-03","BB.B.2.U.7","BB","B","U","2","7",73.71,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.2.U.7_11.jpg",7,1,13.02654861,268.1952025,1790.640261,TRUE,0.1302654861
"2019-07-03","BB.B.3.U.10","BB","B","U","3","10",73.6,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.3.U.13","BC","B","U","3","13",73.6,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.3.U.12","BB","D","U","3","12",73.01,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.4.L.15","BB","B","L","4","15",72.52,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.1.U.12","BB","D","U","1","12",72.45,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.1.U.7_14.jpg",12,1,44.66288527,2434.796036,3016.701379,TRUE,0.4466288527
"2019-07-31","BC.B.5.L.2","BC","B","L","5","2",72.31,"Y",2019,"British Columbia","B Underhill/Disease Scans/","BC.B.5.L.2.jpg",2,1,5.437431207,51.4435507,894.6567078,TRUE,0.05437431207
"2019-07-03","BB.B.4.L.11","BB","B","L","4","11",72.08,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.4.L.8_13.jpg",11,1,5.931808356,88.19304797,1398.588768,TRUE,0.05931808356
"2019-07-31","BC.B.5.L.9","BC","B","L","5","9",71.47,"Y",2019,"British Columbia","B Underhill/Disease Scans/","BC.B.5.L.8_9.jpg",9,1,3.955881046,44.74827636,1086.435292,TRUE,0.03955881046
"2019-07-17","BB.D.2.U.15","BB","D","U","2","15",71.1,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.2.U.13_20.jpg",15,1,5.710724155,98.21172077,1621.565283,TRUE,0.05710724155
"2019-07-17","BB.D.3.U.7","BB","D","U","3","7",71.1,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.5.L.15","BB","D","L","5","15",70.98,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.1.U.9","BC","B","U","1","9",70.98,"Y",2019,"British Columbia","B Underhill/Disease Scans/","BC.B.1.U.9.jpg",9,1,20.45271688,132.8174375,516.5703103,TRUE,0.2045271688
"2019-07-17","BB.D.2.U.2","BB","D","U","2","2",70.92,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.2.U.1_6.jpg",2,1,27.51442579,1004.490448,2646.286986,TRUE,0.2751442579
"2019-07-03","BB.B.5.L.13","BB","B","L","5","13",70.77,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-02","BB.A.4.L.5","BB","A","L","4","5",69.6,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.4.L.1_5.jpg",5,1,3.512849945,109.5123528,3007.966461,TRUE,0.03512849945
"2019-07-17","BB.D.2.U.1","BB","D","U","2","1",69.48,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.2.U.1_6.jpg",1,1,29.95917101,1214.03871,2838.272048,TRUE,0.2995917101
"2019-07-17","BB.D.5.L.10","BB","D","L","5","10",69.44,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.5.L.6_10.jpg",10,1,22.665275,540.3871014,1843.820023,TRUE,0.22665275
"2019-07-17","BB.D.4.L.3","BB","D","L","4","3",69.3,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.1_5.jpg",3,1,33.38882418,476.0647084,949.7558173,TRUE,0.3338882418
"2019-07-03","BB.B.4.L.14","BB","B","L","4","14",68.96,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.4.L.5","BB","B","L","4","5",68.4,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.4.L.1_7.jpg",5,1,8.598805001,261.1551997,2775.955185,TRUE,0.08598805001
"2019-07-17","BB.D.4.L.11","BB","D","L","4","11",67.97,"Y",2019,"Bodega Bay","D Campbell Cove/Disease Scans/","BB.D.4.L.11_15.jpg",11,1,15.32360022,374.9569089,2071.967466,TRUE,0.1532360022
"2019-07-02","BB.A.4.L.3","BB","A","L","4","3",67.9,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.4.L.1_5.jpg",3,1,3.314096995,10.34185579,301.7146653,TRUE,0.03314096995
"2019-07-02","BB.A.4.L.6","BB","A","L","4","6",67.2,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-31","BC.B.1.U.4","BC","B","U","1","4",67.2,"Y",2019,"British Columbia","B Underhill/Disease Scans/","BC.B.1.U.3_4.jpg",4,1,51.45985401,649.8617495,612.9901609,TRUE,0.5145985401
